Topic,Count,Name,Representation,Representative_Docs
-1,47,-1_beşiktaş_feyenoord_hakem_shakhtar,"['beşiktaş', 'feyenoord', 'hakem', 'shakhtar', 'fenerbahçe', 'donetsk', 'galatasaray', 'yönetecek', 'maçına', 'hakemleri']","['Shakhtar Donetsk-Beşiktaş maçına İspanyol hakem', 'Shakhtar Donetsk - Beşiktaş maçına İspanyol hakem', 'Shakhtar Donetsk-Beşiktaş maçına İspanyol hakem']"
0,82,0_ekrem_mehmet_lisans_yüksek,"['ekrem', 'mehmet', 'lisans', 'yüksek', 'başladı', 'abone', 'diploması', 'mexico', 'hisse', 'tenochtitlan']","[""Mexico City'de tarihi kutlama: Tenochtitlan 700 yaşında"", ""Ekrem İmamoğlu'nun yüksek lisans diploması iptal edildi"", ""Ekrem İmamoğlu'nun yüksek lisans diploması iptal edildi""]"
1,47,1_orman_yangını_beykoz_yangın,"['orman', 'yangını', 'beykoz', 'yangın', 'durum', 'yangınlarında', 'haberleri', 'endonezya', 'büyüklüğünde', 'elektrik']","[""SON DAKİKA HABERİ: Beykoz'da orman yangını"", ""SON DAKİKA ORMAN YANIGINI: Beykoz'da orman yangını çıktı! Beykoz orman yangını son durum nedir, söndürüldü mü?"", ""SON DAKİKA ORMAN YANIGINI: Beykoz'da orman yangını çıktı! Beykoz orman yangını son durum nedir, söndürüldü mü?""]"
2,43,2_gazze_srail_filistin_bm,"['gazze', 'srail', 'filistin', 'bm', 'suriye', 'deki', 'ab', 'bir', 'yardım', 'yeniden']","['ABD: BM\'deki ""Filistin meselesine barışçıl ve iki devletli çözüm"" konferansını reddediyoruz', ""BM'de İsrail ve Filistin için iki devletli çözüm konulu konferans yapılacak"", ""BM'de İsrail ve Filistin için iki devletli çözüm konulu konferans yapılacak""]"
3,36,3_şehit_düşen_kayalıklardan_yerlikaya,"['şehit', 'düşen', 'kayalıklardan', 'yerlikaya', 'olay', 'feci', 'çavuş', 'jandarma', 'şırnak', 'almanya']","[""Şırnak'ta kayalıklardan düşen jandarma uzman çavuş şehit oldu"", 'Bakan Yerlikaya duyurdu! Kayalıklardan düşen jandarma uzman çavuş şehit oldu', 'Bakan Yerlikaya duyurdu! Kayalıklardan düşen jandarma uzman çavuş şehit oldu']"
4,35,4_türkiye_silahlı_ye_iade,"['türkiye', 'silahlı', 'ye', 'iade', 'stanbul', 'tayland', 'edildi', 'gökalp', 'daltonlar', 'saldırı']","[""Daltonlar suç örgütü üyesi Ahmet Aydın Türkiye'ye iade edildi"", ""Daltonlar suç örgütü üyesi Ahmet Aydın Türkiye'ye iade edildi"", ""SON DAKİKA HABERİ: Daltonlar Suç Örgütü Üyesi Ahmet Aydın Türkiye'ye iade edildi""]"
5,20,5_temmuz_2025_28_sonuçları,"['temmuz', '2025', '28', 'sonuçları', 'zaman', 'ekranı', 'sayısal', 'çekilişi', 'bilet', 'loto']","['Son dakika: Bugünkü On Numara çekilişi sonuçları belli oldu! 28 Temmuz 2025 On Numara bilet sonucu sorgulama ekranı!', 'Son dakika: Bu akşam Sayısal Loto çekilişi sonuçları belli oldu! 28 Temmuz 2025 Çılgın Sayısal Loto bilet sonucu sorgulama ekranı!', 'Son dakika: Bu akşam Sayısal Loto çekilişi sonuçları belli oldu! 28 Temmuz 2025 Çılgın Sayısal Loto bilet sonucu sorgulama ekranı!']"
6,14,6_cumhurbaşkanı_erdoğan_karşıladı_tokayev,"['cumhurbaşkanı', 'erdoğan', 'karşıladı', 'tokayev', 'kazakistan', 'ankara', 'vatanımızı', 'türlü', 'yeşil', 'korumak']","[""Kazakistan Cumhurbaşkanı Tokayev Ankara'da! Cumhurbaşkanı Erdoğan karşıladı"", ""Cumhurbaşkanı Erdoğan, Kazakistan Cumhurbaşkanı Tokayev'i karşıladı"", ""Cumhurbaşkanı Erdoğan, Kazakistan Cumhurbaşkanı Tokayev'i karşıladı""]"
7,13,7_40_ölçülen_kremi_havada,"['40', 'ölçülen', 'kremi', 'havada', 'hangisi', 'güneş', 'gösterdi', 'dereceyi', 'derecenin', '47']","[""Çin'de şiddetli yağışlar nedeniyle en az dört kişi öldü, kayıplar var"", 'Termometreler 41.5 dereceyi gösterdi: İlçede ölçülen en yüksek sıcaklık rekoru kırıldı', 'Termometreler 41.5 dereceyi gösterdi: İlçede ölçülen en yüksek sıcaklık rekoru kırıldı']"
8,12,8_ab_abd_saray_ticaret,"['ab', 'abd', 'saray', 'ticaret', 'beyaz', 'liga', 'konusunda', 'ürünle', 'incelemesi', 'arasındaki']","['Beyaz Saray detayları paylaştı! ABD ile AB arasında anlaşma sağlandı', 'Beyaz Saray, ABD ile AB arasındaki ticaret anlaşmasının detaylarını açıkladı', 'Beyaz Saray, ABD ile AB arasındaki ticaret anlaşmasının detaylarını açıkladı']"
9,12,9_fetö_bursa_tutuklandı_yangınıyla,"['fetö', 'bursa', 'tutuklandı', 'yangınıyla', 'yakan', 'ilgili', 'orman', 'kundakçı', 'açıklama', 'bağlantısı']","[""Bursa'daki Orhaneli-Harmancık orman yangınıyla ilgili tutuklanan şüpheli suçunu itiraf etti"", ""Bursa'daki yangınlarla ilgili soruşturma: FETÖ bağlantısı bulunan 1 kişi tutuklandı"", ""Bursa'daki yangınlarla ilgili soruşturma: FETÖ bağlantısı bulunan 1 kişi tutuklandı""]"
10,11,10_kredi_faiz_fed_kararı,"['kredi', 'faiz', 'fed', 'kararı', 'kadar', 'uyardı', 'sayım', 'oranı', 'milyonlarca', 'limiti']","['Kredi kartı faiz oranı ne kadar oldu?', ""Türkiye'nin dev bankası uyardı: Milyonlarca kullanıcının kredi kart limiti iptal edilecek"", ""Türkiye'nin dev bankası uyardı: Milyonlarca kullanıcının kredi kart limiti iptal edilecek""]"
11,11,11_masterchef_kazandı_çatlakla_championship,"['masterchef', 'kazandı', 'çatlakla', 'championship', 'devrim', 'başı', 'euro', 'ayağında', 'zaferi', 'çağırma']","[""Kocaelispor'a Championship'ten sağ bek: Resmen açıklandı"", ""İngiltere'nin Euro 2025 zaferi: Takımın stoperi turnuvayı ayağında çatlakla oynadı"", ""İngiltere'nin Euro 2025 zaferi: Takımın stoperi turnuvayı ayağında çatlakla oynadı""]"
